Age,Lower,Estimate,Upper
s0-9,0.219050167375,0.219294308,0.219538448625
s10-19,0.421356674,0.423309799,0.425262924
s30-39,1.1236208255,1.124597388,1.1255739504999998
s40-49,1.507828403,1.511734653,1.515640903
s50-59,1.558432956,1.560386081,1.5623392059999999
s60-69,1.7269429405,1.727919503,1.7288960654999999
s70-79,1.732625912,1.734579037,1.736532162
v0-9,3.77356574,3.77747199,3.7813782400000004
v10-19,0.70779529,0.71170154,0.71560779
v30-39,0.767394703,0.769347828,0.7713009529999999
v40-49,0.089244899,0.104869899,0.12049489900000002
v50-59,2.086342748,2.090248998,2.094155248
v60-69,1.98532403,1.98923028,1.9931365300000001
v70-79,3.369893228,3.373799478,3.3777057280000005
